"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"delphi-epicast",1,0.279783413917406,0.366933480092021,0.484289617486339,0.953551912568306,1464
"delphi-epicast",2,0.356430729937034,0.502493105889054,0.511355815554026,0.978664831383345,1464
"delphi-epicast",3,0.426081154199969,0.610672726162547,0.488210818307906,0.973647711511789,1464
"delphi-epicast",4,0.470342756248359,0.677533201937064,0.46890286512928,0.961565338923829,1464
"hist-avg",1,0.698023260645357,1.078069691206,0.452479338842975,0.927685950413223,1452
"hist-avg",2,0.691828138817894,1.07282489451435,0.446217904233171,0.933379597501735,1452
"hist-avg",3,0.701175735949936,1.08609450163135,0.443442054129077,0.934073560027759,1452
"hist-avg",4,0.703585939315767,1.0908184584347,0.446153846153846,0.929370629370629,1452
